"Date","Price","Open","High","Low","Vol.","Change %"
"12/19/2022","1.2146","1.2150","1.2243","1.2119","","0.05%"
"12/16/2022","1.2140","1.2178","1.2225","1.2119","","-0.30%"
"12/15/2022","1.2176","1.2426","1.2433","1.2155","","-1.97%"
"12/14/2022","1.2421","1.2359","1.2448","1.2341","","0.54%"
"12/13/2022","1.2354","1.2274","1.2445","1.2247","","0.68%"
"12/12/2022","1.2270","1.2249","1.2300","1.2210","","0.12%"
"12/09/2022","1.2255","1.2234","1.2324","1.2206","","0.18%"
"12/08/2022","1.2233","1.2202","1.2249","1.2154","","0.28%"
"12/07/2022","1.2199","1.2136","1.2236","1.2105","","0.51%"
"12/06/2022","1.2137","1.2185","1.2270","1.2126","","-0.42%"
"12/05/2022","1.2188","1.2266","1.2346","1.2161","","-0.81%"
"12/02/2022","1.2287","1.2254","1.2301","1.2134","","0.28%"
"12/01/2022","1.2253","1.2056","1.2312","1.2053","","1.63%"
"11/30/2022","1.2056","1.1951","1.2089","1.1899","","0.86%"
"11/29/2022","1.1953","1.1954","1.2066","1.1944","","-0.04%"
"11/28/2022","1.1958","1.2078","1.2119","1.1939","","-1.12%"
"11/25/2022","1.2093","1.2112","1.2129","1.2057","","-0.14%"
"11/24/2022","1.2110","1.2054","1.2155","1.2047","","0.48%"
"11/23/2022","1.2052","1.1885","1.2082","1.1871","","1.42%"
"11/22/2022","1.1883","1.1825","1.1904","1.1817","","0.52%"
"11/21/2022","1.1821","1.1889","1.1903","1.1777","","-0.53%"
"11/18/2022","1.1884","1.1863","1.1952","1.1856","","0.19%"
"11/17/2022","1.1862","1.1914","1.1959","1.1762","","-0.39%"
"11/16/2022","1.1908","1.1866","1.1944","1.1831","","0.42%"
"11/15/2022","1.1858","1.1751","1.2027","1.1739","","0.90%"
"11/14/2022","1.1752","1.1805","1.1830","1.1709","","-0.70%"
"11/11/2022","1.1835","1.1716","1.1856","1.1646","","1.04%"
"11/10/2022","1.1713","1.1358","1.1733","1.1351","","3.14%"
"11/09/2022","1.1356","1.1543","1.1568","1.1333","","-1.56%"
"11/08/2022","1.1536","1.1513","1.1601","1.1429","","0.22%"
"11/07/2022","1.1511","1.1304","1.1543","1.1289","","1.20%"
"11/04/2022","1.1375","1.1166","1.1383","1.1148","","1.88%"
"11/03/2022","1.1165","1.1396","1.1423","1.1150","","-1.97%"
"11/02/2022","1.1389","1.1486","1.1566","1.1387","","-0.82%"
"11/01/2022","1.1483","1.1471","1.1567","1.1436","","0.12%"
"10/31/2022","1.1469","1.1609","1.1615","1.1458","","-1.21%"
"10/28/2022","1.1610","1.1563","1.1624","1.1503","","0.40%"
"10/27/2022","1.1564","1.1618","1.1647","1.1549","","-0.54%"
"10/26/2022","1.1627","1.1476","1.1640","1.1430","","1.40%"
"10/25/2022","1.1467","1.1281","1.1501","1.1270","","1.70%"
"10/24/2022","1.1275","1.1358","1.1410","1.1257","","-0.24%"
"10/21/2022","1.1302","1.1243","1.1316","1.1059","","0.61%"
"10/20/2022","1.1233","1.1223","1.1337","1.1171","","0.17%"
"10/19/2022","1.1214","1.1320","1.1359","1.1184","","-0.92%"
"10/18/2022","1.1318","1.1355","1.1411","1.1255","","-0.31%"
"10/17/2022","1.1353","1.1177","1.1441","1.1177","","1.64%"
"10/14/2022","1.1170","1.1330","1.1366","1.1151","","-1.40%"
"10/13/2022","1.1329","1.1106","1.1381","1.1056","","2.04%"
"10/12/2022","1.1103","1.0968","1.1135","1.0924","","1.28%"
"10/11/2022","1.0963","1.1058","1.1181","1.0952","","-0.83%"
