,neg_pos_volume_summary,candle_LZ,cumsum,cumsum_%_50_000,cumsum_%_TrueFalse
2022-12-08 13:30:00,neg,-23165.750632361363,-705115.8282042202,44884.17179577984,False
2022-12-08 13:45:00,neg,-15790.622574982171,-720906.4507792023,29093.549220797722,False
2022-12-08 14:00:00,neg,-864.9891248621411,-721771.4399040644,28228.560095935594,False
2022-12-08 14:30:00,neg,-8082.030299561006,-729853.4702036254,20146.529796374612,False
2022-12-09 16:45:00,neg,-18022.868137336918,-747876.3383409623,2123.6616590376943,True
2022-12-10 00:15:00,neg,-2845.128266270167,-750721.4666072325,49278.53339276754,False
2022-12-10 00:30:00,neg,-1545.6339511533827,-752267.1005583858,47732.899441614165,False
2022-12-11 22:00:00,neg,-5.332007314874891,-752272.4325657007,47727.56743429927,False
2022-12-11 22:15:00,neg,-99996.72571814332,-852269.158283844,47730.84171615599,False
2022-12-11 22:30:00,neg,-10.330764172570102,-852279.4890480166,47720.51095198339,False
2022-12-12 03:45:00,neg,-3355.422968186725,-855634.9120162033,44365.08798379672,False
2022-12-12 04:00:00,neg,-17087.3728353412,-872722.2848515445,27277.715148455463,False
2022-12-12 04:15:00,neg,-24574.83666985687,-897297.1215214015,2702.878478598548,True
2022-12-12 04:30:00,neg,-16189.519291095867,-913486.6408124974,36513.35918750265,False
2022-12-12 04:45:00,neg,-7101.425796797935,-920588.0666092953,29411.933390704682,False
2022-12-12 05:00:00,neg,-20032.642260472996,-940620.7088697683,9379.291130231693,False
2022-12-12 05:15:00,neg,-18783.284287695016,-959403.9931574634,40596.00684253662,False
2022-12-12 05:30:00,neg,-18481.51694746163,-977885.510104925,22114.489895074978,False
2022-12-12 05:45:00,neg,-7148.796759922687,-985034.3068648477,14965.693135152338,False
2022-12-12 06:00:00,neg,-2643.429720940054,-987677.7365857877,12322.26341421227,False
2022-12-12 06:15:00,neg,-6102.29889527718,-993780.0354810649,6219.96451893507,True
2022-12-12 06:30:00,neg,-5281.748988482976,-999061.7844695479,938.2155304520857,True
2022-12-12 06:45:00,neg,-2314.9339312417237,-1001376.7184007897,48623.28159921034,False
2022-12-12 07:00:00,neg,-3679.1855778637,-1005055.9039786534,44944.09602134663,False
2022-12-12 07:15:00,neg,-526.1628247746957,-1005582.0668034281,44417.93319657189,False
2022-12-12 08:15:00,neg,-5528.2559212009155,-1011110.3227246291,38889.67727537092,False
2022-12-12 08:30:00,neg,-9431.586767063158,-1020541.9094916922,29458.090508307796,False
2022-12-12 08:45:00,neg,-4248.02769918493,-1024789.9371908772,25210.062809122843,False
2022-12-12 09:00:00,neg,-3914.703686932775,-1028704.64087781,21295.359122190042,False
2022-12-12 09:15:00,neg,-720.0565119729986,-1029424.697389783,20575.30261021701,False
2022-12-12 09:30:00,neg,-6708.860693789844,-1036133.5580835729,13866.44191642711,False
2022-12-12 09:45:00,neg,-2380.850506606812,-1038514.4085901798,11485.591409820248,False
2022-12-12 22:15:00,neg,-3410.5268132685183,-1041924.9354034483,8075.064596551703,False
2022-12-12 22:30:00,neg,-2894.671026728519,-1044819.6064301768,5180.393569823238,True
2022-12-12 22:45:00,neg,-537.3081320217304,-1045356.9145621984,4643.08543780155,True
2022-12-13 00:00:00,neg,-30830.095130776765,-1076187.0096929753,23812.99030702468,False
2022-12-13 00:15:00,neg,-19484.456332540893,-1095671.4660255162,4328.533974483842,True
2022-12-13 00:30:00,neg,-14028.098494034772,-1109699.564519551,40300.435480449116,False
2022-12-13 00:45:00,neg,-12379.530511855282,-1122079.0950314063,27920.904968593735,False
2022-12-13 01:00:00,neg,-9977.743796402132,-1132056.8388278084,17943.161172191612,False
2022-12-13 01:15:00,neg,-2088.6457515670195,-1134145.4845793755,15854.51542062452,False
2022-12-13 01:30:00,neg,-31545.187599836983,-1165690.6721792126,34309.32782078744,False
2022-12-13 01:45:00,neg,-12087.156034606654,-1177777.8282138193,22222.171786180697,False
2022-12-13 02:00:00,neg,-6911.859413972698,-1184689.687627792,15310.312372208107,False
2022-12-13 02:15:00,neg,-7990.955964745879,-1192680.6435925378,7319.356407462154,False
2022-12-13 02:30:00,neg,-9573.590051986082,-1202254.233644524,47745.76635547611,False
2022-12-13 02:45:00,neg,-10716.726499286493,-1212970.9601438104,37029.03985618963,False
2022-12-13 03:00:00,neg,-6833.877976334129,-1219804.8381201446,30195.16187985544,False
2022-12-13 03:15:00,neg,-9256.012556894173,-1229060.8506770388,20939.149322961224,False
2022-12-13 03:30:00,neg,-16171.961405039188,-1245232.812082078,4767.187917921925,True
2022-12-13 03:45:00,neg,-6170.450316480328,-1251403.2623985584,48596.737601441564,False
2022-12-13 04:00:00,neg,-6227.161591463582,-1257630.423990022,42369.576009978075,False
2022-12-13 04:15:00,neg,-7762.414046610753,-1265392.8380366326,34607.16196336737,False
2022-12-13 04:30:00,neg,-4578.319762103174,-1269971.157798736,30028.84220126411,False
2022-12-13 04:45:00,neg,-8453.886793350544,-1278425.0445920865,21574.95540791354,False
2022-12-13 06:15:00,neg,-3418.4517700765887,-1281843.496362163,18156.503637837013,False
2022-12-13 06:30:00,neg,-14890.658324912249,-1296734.1546870752,3265.845312924823,True
2022-12-13 06:45:00,neg,-14249.009619211864,-1310983.164306287,39016.835693713045,False
2022-12-13 07:00:00,neg,-29177.253626736994,-1340160.417933024,9839.582066976,False
2022-12-13 07:15:00,neg,-32269.42169951394,-1372429.839632538,27570.160367462086,False
2022-12-13 07:30:00,neg,-27232.924108168816,-1399662.7637407067,337.2362592932768,True
2022-12-13 07:45:00,neg,-21158.715124016144,-1420821.478864723,29178.521135277115,False
2022-12-13 08:00:00,neg,-12708.915471664352,-1433530.3943363873,16469.605663612718,False
2022-12-13 08:15:00,neg,-10502.396318168365,-1444032.7906545557,5967.209345444338,True
2022-12-13 08:30:00,neg,-15808.393919984752,-1459841.1845745405,40158.81542545953,False
2022-12-13 08:45:00,neg,-13638.985263117871,-1473480.1698376583,26519.830162341706,False
2022-12-13 09:00:00,neg,-2529.4011279906213,-1476009.5709656489,23990.42903435114,False
2022-12-13 11:45:00,neg,-19951.827766006973,-1495961.398731656,4038.601268344093,True
2022-12-13 12:00:00,neg,-23149.456027691198,-1519110.8547593472,30889.14524065284,False
2022-12-13 12:15:00,neg,-17960.70315219854,-1537071.5579115457,12928.442088454263,False
2022-12-13 12:30:00,neg,-19151.898730063782,-1556223.4566416095,43776.54335839045,False
2022-12-13 12:45:00,neg,-32183.396930973566,-1588406.853572583,11593.146427416941,False
2022-12-13 13:00:00,neg,-25670.63804985419,-1614077.4916224373,35922.50837756274,False
2022-12-13 13:15:00,neg,-28869.664130992296,-1642947.1557534295,7052.844246570487,False
2022-12-13 13:30:00,neg,-33730.437718946894,-1676677.5934723765,23322.406527623534,False
2022-12-13 13:45:00,neg,-34396.659767105935,-1711074.2532394824,38925.74676051759,False
2022-12-13 14:00:00,neg,-34627.714516599386,-1745701.9677560818,4298.032243918162,True
2022-12-13 14:15:00,neg,-20860.350606505188,-1766562.3183625871,33437.68163741287,False
2022-12-13 14:30:00,neg,-11537.7771355827,-1778100.0954981698,21899.904501830228,False
2022-12-13 14:45:00,neg,-13959.778613978053,-1792059.8741121478,7940.125887852162,False
2022-12-13 15:00:00,neg,-19287.765907427358,-1811347.6400195751,38652.359980424866,False
2022-12-13 15:15:00,neg,-19893.97895656327,-1831241.6189761383,18758.3810238617,False
2022-12-13 15:30:00,neg,-16704.845676569857,-1847946.4646527083,2053.535347291734,True
2022-12-13 15:45:00,neg,-16301.43495404579,-1864247.899606754,35752.10039324593,False
2022-12-13 16:15:00,neg,-13801.821452965183,-1878049.7210597193,21950.278940280667,False
2022-12-13 16:30:00,neg,-844.5247323239897,-1878894.2457920434,21105.754207956605,False
2022-12-14 00:00:00,neg,-6038.2851054165,-1884932.53089746,15067.469102540053,False
2022-12-14 00:15:00,neg,-384.4293263308938,-1885316.960223791,14683.039776209043,False
2022-12-14 00:30:00,neg,-1457.492878248735,-1886774.4531020396,13225.546897960361,False
2022-12-14 00:45:00,neg,-163.0894732884162,-1886937.5425753281,13062.457424671855,False
2022-12-14 02:15:00,neg,-3131.4879002104262,-1890069.0304755385,9930.969524461543,False
2022-12-14 02:30:00,neg,-15589.496903909474,-1905658.5273794478,44341.47262055217,False
2022-12-14 02:45:00,neg,-6970.154515360455,-1912628.6818948083,37371.31810519169,False
2022-12-14 03:00:00,neg,-5923.076258322859,-1918551.7581531312,31448.24184686877,False
2022-12-14 03:15:00,neg,-7142.717682460576,-1925694.4758355918,24305.524164408213,False
2022-12-14 03:30:00,neg,-5299.196491211104,-1930993.672326803,19006.327673197025,False
2022-12-14 03:45:00,neg,-7697.625653049119,-1938691.2979798522,11308.702020147815,False
2022-12-14 04:00:00,neg,-2283.3476437194977,-1940974.6456235717,9025.354376428295,False
2022-12-14 05:45:00,neg,-2524.748991768519,-1943499.3946153403,6500.605384659721,True
2022-12-14 06:00:00,neg,-3905.4072591111576,-1947404.8018744513,2595.1981255486608,True
2022-12-14 06:15:00,neg,-7567.110951026099,-1954971.9128254775,45028.08717452246,False
2022-12-14 06:30:00,neg,-9972.847544687833,-1964944.7603701653,35055.23962983466,False
2022-12-14 06:45:00,neg,-5282.296604637034,-1970227.0569748024,29772.9430251976,False
2022-12-14 07:00:00,neg,-5141.228302404421,-1975368.285277207,24631.714722793084,False
2022-12-14 07:15:00,neg,-8133.044535175098,-1983501.329812382,16498.670187617885,False
2022-12-14 07:30:00,neg,-9053.579842139168,-1992554.9096545214,7445.090345478617,False
2022-12-14 07:45:00,neg,-14568.80819728369,-2007123.717851805,42876.282148194965,False
2022-12-14 08:00:00,neg,-15313.527108905597,-2022437.2449607106,27562.75503928936,False
2022-12-14 08:15:00,neg,-9810.293757117919,-2032247.5387178285,17752.461282171542,False
2022-12-14 08:30:00,neg,-3122.8013487205812,-2035370.3400665491,14629.659933450865,False
2022-12-14 08:45:00,neg,-4868.696493975856,-2040239.036560525,9760.963439475046,False
