<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
231023;013000;1.2157000;1.2161000;1.2157000;1.2159000;8955
231023;014500;1.2159000;1.2160000;1.2157000;1.2159000;6918
231023;020000;1.2159000;1.2161000;1.2159000;1.2161000;5939
231023;021500;1.2160000;1.2163000;1.2159000;1.2162000;8269
231023;023000;1.2163000;1.2166000;1.2162000;1.2164000;6484
231023;024500;1.2164000;1.2167000;1.2163000;1.2166000;6852
231023;030000;1.2166000;1.2166000;1.2160000;1.2163000;8893
231023;031500;1.2163000;1.2164000;1.2157000;1.2158000;10833
231023;033000;1.2158000;1.2160000;1.2154000;1.2155000;9555
231023;034500;1.2156000;1.2162000;1.2154000;1.2159000;10600
231023;040000;1.2159000;1.2164000;1.2154000;1.2162000;12776
231023;041500;1.2162000;1.2162000;1.2155000;1.2156000;13444
231023;043000;1.2156000;1.2161000;1.2155000;1.2157000;10283
231023;044500;1.2157000;1.2161000;1.2156000;1.2160000;9949
231023;050000;1.2160000;1.2162000;1.2158000;1.2159000;9436
231023;051500;1.2159000;1.2160000;1.2154000;1.2154000;9916
231023;053000;1.2155000;1.2156000;1.2154000;1.2155000;7421
231023;054500;1.2155000;1.2157000;1.2152000;1.2152000;7465
231023;060000;1.2153000;1.2154000;1.2149000;1.2150000;9578
231023;061500;1.2150000;1.2156000;1.2149000;1.2154000;8262
231023;063000;1.2154000;1.2157000;1.2153000;1.2154000;7721
231023;064500;1.2154000;1.2155000;1.2150000;1.2151000;8580
231023;070000;1.2152000;1.2152000;1.2147000;1.2148000;6769
231023;071500;1.2147000;1.2149000;1.2143000;1.2147000;8664
231023;073000;1.2147000;1.2148000;1.2145000;1.2147000;6124
231023;074500;1.2147000;1.2148000;1.2144000;1.2146000;7417
231023;080000;1.2146000;1.2150000;1.2145000;1.2149000;8748
231023;081500;1.2149000;1.2152000;1.2147000;1.2148000;9770
231023;083000;1.2148000;1.2151000;1.2147000;1.2150000;8483
231023;084500;1.2151000;1.2154000;1.2148000;1.2150000;11666
231023;090000;1.2151000;1.2153000;1.2148000;1.2149000;11542
231023;091500;1.2148000;1.2154000;1.2146000;1.2150000;17871
231023;093000;1.2150000;1.2154000;1.2144000;1.2153000;15238
231023;094500;1.2153000;1.2161000;1.2152000;1.2160000;17819
231023;100000;1.2160000;1.2167000;1.2157000;1.2158000;18234
231023;101500;1.2157000;1.2160000;1.2147000;1.2153000;29543
231023;103000;1.2153000;1.2171000;1.2150000;1.2164000;28823
231023;104500;1.2164000;1.2166000;1.2158000;1.2162000;23983
231023;110000;1.2162000;1.2170000;1.2160000;1.2168000;23036
231023;111500;1.2168000;1.2180000;1.2162000;1.2178000;28593
231023;113000;1.2177000;1.2185000;1.2173000;1.2176000;24090
231023;114500;1.2176000;1.2176000;1.2158000;1.2162000;23669
231023;120000;1.2161000;1.2165000;1.2159000;1.2161000;21462
231023;121500;1.2162000;1.2169000;1.2160000;1.2163000;23460
231023;123000;1.2163000;1.2172000;1.2162000;1.2170000;19683
231023;124500;1.2169000;1.2172000;1.2160000;1.2161000;22345
231023;130000;1.2160000;1.2161000;1.2142000;1.2148000;26408
231023;131500;1.2148000;1.2153000;1.2143000;1.2145000;24647
231023;133000;1.2145000;1.2153000;1.2143000;1.2149000;19195
231023;134500;1.2148000;1.2156000;1.2144000;1.2155000;19752
231023;140000;1.2155000;1.2158000;1.2152000;1.2154000;19417
231023;141500;1.2155000;1.2166000;1.2151000;1.2165000;16831
231023;143000;1.2165000;1.2172000;1.2162000;1.2168000;20081
231023;144500;1.2168000;1.2174000;1.2168000;1.2171000;18358
231023;150000;1.2171000;1.2174000;1.2166000;1.2169000;21751
231023;151500;1.2170000;1.2170000;1.2156000;1.2160000;22159
231023;153000;1.2161000;1.2183000;1.2160000;1.2174000;26004
231023;154500;1.2175000;1.2176000;1.2166000;1.2167000;25935
231023;160000;1.2168000;1.2171000;1.2160000;1.2164000;23580
231023;161500;1.2163000;1.2174000;1.2162000;1.2167000;25646
231023;163000;1.2167000;1.2168000;1.2160000;1.2162000;21755
231023;164500;1.2163000;1.2164000;1.2150000;1.2151000;21249
231023;170000;1.2151000;1.2174000;1.2150000;1.2173000;25451
231023;171500;1.2173000;1.2195000;1.2171000;1.2194000;25074
231023;173000;1.2194000;1.2215000;1.2187000;1.2207000;26563
231023;174500;1.2208000;1.2210000;1.2197000;1.2208000;22435
231023;180000;1.2207000;1.2212000;1.2203000;1.2208000;23260
231023;181500;1.2207000;1.2220000;1.2205000;1.2217000;20105
231023;183000;1.2218000;1.2225000;1.2211000;1.2223000;20507
231023;184500;1.2222000;1.2235000;1.2221000;1.2232000;21391
231023;190000;1.2232000;1.2237000;1.2226000;1.2231000;20315
231023;191500;1.2232000;1.2234000;1.2227000;1.2229000;16514
231023;193000;1.2228000;1.2231000;1.2219000;1.2227000;19370
231023;194500;1.2227000;1.2229000;1.2220000;1.2223000;19377
231023;200000;1.2223000;1.2234000;1.2221000;1.2234000;20403
231023;201500;1.2234000;1.2237000;1.2227000;1.2232000;20587
231023;203000;1.2232000;1.2243000;1.2229000;1.2242000;19782
231023;204500;1.2242000;1.2250000;1.2237000;1.2246000;16108
231023;210000;1.2246000;1.2253000;1.2244000;1.2246000;15967
231023;211500;1.2246000;1.2252000;1.2243000;1.2252000;15479
231023;213000;1.2251000;1.2254000;1.2246000;1.2253000;16405
231023;214500;1.2252000;1.2258000;1.2249000;1.2253000;15064
231023;220000;1.2253000;1.2259000;1.2250000;1.2255000;17984
231023;221500;1.2255000;1.2255000;1.2244000;1.2248000;19185
231023;223000;1.2247000;1.2248000;1.2240000;1.2240000;19858
231023;224500;1.2241000;1.2243000;1.2236000;1.2240000;16642
231023;230000;1.2240000;1.2245000;1.2240000;1.2244000;16914
231023;231500;1.2244000;1.2249000;1.2243000;1.2247000;9095
231023;233000;1.2248000;1.2249000;1.2243000;1.2246000;6374
231023;234500;1.2246000;1.2249000;1.2245000;1.2248000;6461
231024;000000;1.2248000;1.2249000;1.2245000;1.2248000;7327
231024;001500;1.2248000;1.2249000;1.2236000;1.2246000;781
231024;003000;1.2246000;1.2249000;1.2228000;1.2243000;1095
231024;004500;1.2244000;1.2246000;1.2239000;1.2242000;2709
231024;010000;1.2243000;1.2247000;1.2239000;1.2243000;3983
231024;011500;1.2241000;1.2250000;1.2241000;1.2248000;3440
231024;013000;1.2249000;1.2250000;1.2248000;1.2249000;6113
231024;014500;1.2249000;1.2253000;1.2247000;1.2252000;5720
231024;020000;1.2251000;1.2254000;1.2248000;1.2248000;6043
231024;021500;1.2248000;1.2250000;1.2247000;1.2248000;6266
231024;023000;1.2248000;1.2250000;1.2248000;1.2249000;5444
231024;024500;1.2248000;1.2249000;1.2246000;1.2249000;6416
231024;030000;1.2249000;1.2250000;1.2248000;1.2248000;6088
231024;031500;1.2248000;1.2253000;1.2246000;1.2249000;9483
231024;033000;1.2249000;1.2255000;1.2248000;1.2253000;11518
231024;034500;1.2254000;1.2255000;1.2247000;1.2248000;9694
231024;040000;1.2248000;1.2257000;1.2246000;1.2255000;11801
231024;041500;1.2255000;1.2263000;1.2254000;1.2262000;14922
231024;043000;1.2262000;1.2263000;1.2251000;1.2251000;16878
231024;044500;1.2252000;1.2255000;1.2248000;1.2254000;17979
231024;050000;1.2254000;1.2257000;1.2250000;1.2252000;13439
231024;051500;1.2252000;1.2260000;1.2250000;1.2259000;13046
231024;053000;1.2259000;1.2273000;1.2258000;1.2272000;16617
231024;054500;1.2271000;1.2274000;1.2267000;1.2270000;14309
231024;060000;1.2269000;1.2271000;1.2264000;1.2265000;13553
231024;061500;1.2265000;1.2267000;1.2262000;1.2264000;9810
231024;063000;1.2265000;1.2267000;1.2261000;1.2263000;10953
231024;064500;1.2263000;1.2267000;1.2262000;1.2265000;9938
231024;070000;1.2265000;1.2266000;1.2263000;1.2265000;9238
231024;071500;1.2265000;1.2267000;1.2262000;1.2264000;9839
231024;073000;1.2264000;1.2267000;1.2262000;1.2263000;10701
231024;074500;1.2263000;1.2265000;1.2261000;1.2263000;8721
231024;080000;1.2264000;1.2267000;1.2263000;1.2265000;9295
231024;081500;1.2265000;1.2267000;1.2263000;1.2266000;10378
231024;083000;1.2266000;1.2269000;1.2263000;1.2266000;10249
231024;084500;1.2266000;1.2267000;1.2262000;1.2266000;13681
231024;090000;1.2266000;1.2272000;1.2263000;1.2271000;12941
231024;091500;1.2269000;1.2277000;1.2260000;1.2275000;23418
231024;093000;1.2274000;1.2280000;1.2270000;1.2278000;19610
231024;094500;1.2279000;1.2281000;1.2275000;1.2280000;21458
231024;100000;1.2280000;1.2285000;1.2275000;1.2285000;22061
231024;101500;1.2285000;1.2289000;1.2274000;1.2278000;27498
231024;103000;1.2279000;1.2284000;1.2273000;1.2275000;29012
231024;104500;1.2275000;1.2276000;1.2261000;1.2264000;36286
231024;110000;1.2263000;1.2269000;1.2257000;1.2262000;26281
231024;111500;1.2262000;1.2266000;1.2251000;1.2252000;27225
231024;113000;1.2252000;1.2253000;1.2243000;1.2245000;22818
231024;114500;1.2248000;1.2262000;1.2245000;1.2261000;28790
231024;120000;1.2260000;1.2266000;1.2257000;1.2263000;24806
231024;121500;1.2264000;1.2264000;1.2251000;1.2256000;21258
231024;123000;1.2256000;1.2257000;1.2247000;1.2249000;21321
231024;124500;1.2249000;1.2251000;1.2239000;1.2243000;18403
231024;130000;1.2244000;1.2250000;1.2240000;1.2240000;16607
231024;131500;1.2240000;1.2245000;1.2234000;1.2236000;18108
231024;133000;1.2236000;1.2237000;1.2225000;1.2230000;21748
231024;134500;1.2230000;1.2235000;1.2223000;1.2225000;18806
231024;140000;1.2225000;1.2226000;1.2210000;1.2211000;22644
231024;141500;1.2211000;1.2220000;1.2210000;1.2217000;27369
231024;143000;1.2217000;1.2229000;1.2216000;1.2228000;17670
231024;144500;1.2227000;1.2234000;1.2225000;1.2228000;18118
231024;150000;1.2227000;1.2229000;1.2218000;1.2219000;21751
231024;151500;1.2219000;1.2222000;1.2212000;1.2216000;24886
231024;153000;1.2216000;1.2221000;1.2211000;1.2212000;28189
231024;154500;1.2212000;1.2216000;1.2203000;1.2206000;26285
231024;160000;1.2207000;1.2210000;1.2197000;1.2204000;24502
231024;161500;1.2203000;1.2207000;1.2198000;1.2201000;24564
231024;163000;1.2201000;1.2204000;1.2194000;1.2196000;22184
231024;164500;1.2197000;1.2204000;1.2188000;1.2191000;26837
231024;170000;1.2188000;1.2192000;1.2171000;1.2186000;47501
231024;171500;1.2187000;1.2192000;1.2169000;1.2179000;24122
231024;173000;1.2182000;1.2188000;1.2176000;1.2186000;24714
231024;174500;1.2186000;1.2187000;1.2165000;1.2168000;34087
231024;180000;1.2169000;1.2180000;1.2167000;1.2178000;28359
231024;181500;1.2177000;1.2178000;1.2165000;1.2167000;30389
231024;183000;1.2168000;1.2174000;1.2160000;1.2161000;26150
231024;184500;1.2161000;1.2165000;1.2158000;1.2161000;21677
231024;190000;1.2161000;1.2169000;1.2159000;1.2167000;23564
231024;191500;1.2167000;1.2173000;1.2165000;1.2171000;18851
231024;193000;1.2171000;1.2172000;1.2163000;1.2164000;18013
231024;194500;1.2164000;1.2166000;1.2155000;1.2157000;19925
231024;200000;1.2157000;1.2159000;1.2152000;1.2159000;17256
231024;201500;1.2158000;1.2165000;1.2157000;1.2161000;21919
231024;203000;1.2161000;1.2167000;1.2158000;1.2162000;16318
231024;204500;1.2162000;1.2168000;1.2160000;1.2167000;18215
231024;210000;1.2167000;1.2167000;1.2160000;1.2162000;16585
231024;211500;1.2163000;1.2165000;1.2155000;1.2157000;13260
231024;213000;1.2157000;1.2160000;1.2155000;1.2159000;10418
231024;214500;1.2159000;1.2162000;1.2155000;1.2158000;14078
231024;220000;1.2159000;1.2163000;1.2157000;1.2160000;12699
231024;221500;1.2161000;1.2164000;1.2158000;1.2159000;16566
231024;223000;1.2159000;1.2162000;1.2158000;1.2160000;13706
231024;224500;1.2160000;1.2163000;1.2159000;1.2161000;11343
231024;230000;1.2161000;1.2166000;1.2160000;1.2162000;13833
231024;231500;1.2163000;1.2166000;1.2162000;1.2163000;13995
231024;233000;1.2163000;1.2165000;1.2162000;1.2163000;7859
231024;234500;1.2163000;1.2164000;1.2159000;1.2161000;6264
231025;000000;1.2160000;1.2161000;1.2157000;1.2160000;10554
231025;001500;1.2159000;1.2164000;1.2156000;1.2158000;622
231025;003000;1.2159000;1.2161000;1.2156000;1.2158000;1106
231025;004500;1.2159000;1.2163000;1.2157000;1.2161000;2797
231025;010000;1.2160000;1.2162000;1.2156000;1.2160000;2776
231025;011500;1.2159000;1.2161000;1.2155000;1.2156000;4687
231025;013000;1.2156000;1.2160000;1.2155000;1.2159000;6364
231025;014500;1.2159000;1.2161000;1.2159000;1.2159000;5339
231025;020000;1.2159000;1.2161000;1.2157000;1.2160000;5421
231025;021500;1.2160000;1.2161000;1.2158000;1.2159000;7558
231025;023000;1.2160000;1.2161000;1.2158000;1.2159000;5484
231025;024500;1.2160000;1.2161000;1.2158000;1.2159000;4596
231025;030000;1.2159000;1.2162000;1.2159000;1.2161000;7699
231025;031500;1.2162000;1.2166000;1.2161000;1.2163000;11657
231025;033000;1.2162000;1.2167000;1.2162000;1.2164000;11165
231025;034500;1.2165000;1.2169000;1.2160000;1.2163000;18979
231025;040000;1.2163000;1.2166000;1.2162000;1.2166000;14933
231025;041500;1.2166000;1.2172000;1.2164000;1.2171000;13265
231025;043000;1.2170000;1.2173000;1.2165000;1.2166000;11538
231025;044500;1.2166000;1.2168000;1.2163000;1.2167000;11761
231025;050000;1.2167000;1.2170000;1.2163000;1.2169000;12364
231025;051500;1.2170000;1.2172000;1.2167000;1.2170000;10888
231025;053000;1.2170000;1.2173000;1.2167000;1.2173000;8862
231025;054500;1.2173000;1.2174000;1.2170000;1.2171000;10701
231025;060000;1.2172000;1.2174000;1.2171000;1.2172000;9172
231025;061500;1.2173000;1.2175000;1.2170000;1.2171000;11479
231025;063000;1.2172000;1.2174000;1.2170000;1.2171000;10864
231025;064500;1.2171000;1.2174000;1.2170000;1.2170000;9220
231025;070000;1.2171000;1.2173000;1.2170000;1.2171000;7020
231025;071500;1.2171000;1.2173000;1.2170000;1.2172000;8719
231025;073000;1.2172000;1.2173000;1.2170000;1.2172000;7630
231025;074500;1.2172000;1.2174000;1.2171000;1.2174000;8276
231025;080000;1.2174000;1.2175000;1.2172000;1.2175000;8296
231025;081500;1.2175000;1.2176000;1.2172000;1.2174000;10099
231025;083000;1.2175000;1.2176000;1.2171000;1.2173000;8276
231025;084500;1.2173000;1.2173000;1.2165000;1.2168000;12109
231025;090000;1.2170000;1.2172000;1.2167000;1.2168000;12678
231025;091500;1.2169000;1.2170000;1.2158000;1.2159000;18596
231025;093000;1.2159000;1.2171000;1.2159000;1.2170000;17486
231025;094500;1.2170000;1.2171000;1.2161000;1.2165000;20733
231025;100000;1.2165000;1.2166000;1.2160000;1.2161000;17072
231025;101500;1.2161000;1.2166000;1.2154000;1.2156000;26348
231025;103000;1.2157000;1.2161000;1.2147000;1.2151000;20565
231025;104500;1.2151000;1.2152000;1.2142000;1.2145000;22918
231025;110000;1.2146000;1.2150000;1.2136000;1.2141000;19979
231025;111500;1.2141000;1.2151000;1.2139000;1.2143000;28781
231025;113000;1.2143000;1.2146000;1.2137000;1.2144000;21051
231025;114500;1.2144000;1.2146000;1.2138000;1.2145000;19149
231025;120000;1.2144000;1.2146000;1.2132000;1.2138000;22863
231025;121500;1.2138000;1.2139000;1.2130000;1.2133000;22412
231025;123000;1.2132000;1.2135000;1.2120000;1.2121000;18518
231025;124500;1.2121000;1.2125000;1.2115000;1.2116000;18573
231025;130000;1.2117000;1.2121000;1.2113000;1.2120000;22085
231025;131500;1.2119000;1.2122000;1.2113000;1.2117000;18562
231025;133000;1.2118000;1.2126000;1.2114000;1.2123000;18178
231025;134500;1.2123000;1.2126000;1.2119000;1.2123000;16201
231025;140000;1.2122000;1.2124000;1.2118000;1.2123000;14333
231025;141500;1.2123000;1.2126000;1.2120000;1.2124000;17663
231025;143000;1.2125000;1.2128000;1.2122000;1.2127000;15573
231025;144500;1.2127000;1.2133000;1.2123000;1.2125000;16698
231025;150000;1.2125000;1.2126000;1.2113000;1.2118000;15584
231025;151500;1.2117000;1.2124000;1.2117000;1.2123000;17237
231025;153000;1.2123000;1.2126000;1.2115000;1.2119000;21709
231025;154500;1.2119000;1.2127000;1.2117000;1.2125000;23803
231025;160000;1.2126000;1.2137000;1.2122000;1.2130000;25785
231025;161500;1.2130000;1.2139000;1.2130000;1.2137000;26005
231025;163000;1.2136000;1.2139000;1.2125000;1.2126000;25635
231025;164500;1.2127000;1.2130000;1.2123000;1.2128000;30914
231025;170000;1.2128000;1.2137000;1.2121000;1.2133000;27968
231025;171500;1.2133000;1.2138000;1.2124000;1.2131000;34613
231025;173000;1.2134000;1.2144000;1.2131000;1.2140000;24680
231025;174500;1.2141000;1.2155000;1.2139000;1.2153000;19748
231025;180000;1.2154000;1.2156000;1.2141000;1.2143000;17860
231025;181500;1.2142000;1.2150000;1.2138000;1.2149000;28693
231025;183000;1.2150000;1.2151000;1.2139000;1.2147000;16820
231025;184500;1.2147000;1.2150000;1.2141000;1.2147000;20656
231025;190000;1.2151000;1.2152000;1.2136000;1.2137000;14838
231025;191500;1.2137000;1.2140000;1.2133000;1.2134000;14087
231025;193000;1.2134000;1.2135000;1.2131000;1.2133000;11916
231025;194500;1.2132000;1.2137000;1.2127000;1.2129000;13462
231025;200000;1.2129000;1.2129000;1.2122000;1.2127000;15067
231025;201500;1.2127000;1.2130000;1.2120000;1.2124000;14847
231025;203000;1.2124000;1.2128000;1.2118000;1.2118000;18417
231025;204500;1.2119000;1.2119000;1.2113000;1.2113000;14184
231025;210000;1.2114000;1.2122000;1.2113000;1.2120000;18342
231025;211500;1.2120000;1.2122000;1.2116000;1.2121000;16038
231025;213000;1.2121000;1.2124000;1.2117000;1.2119000;16177
