<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
230720;041500;1.1218100;1.1219600;1.1214900;1.1215800;11532
230720;043000;1.1216600;1.1225400;1.1215700;1.1221800;17359
230720;044500;1.1222000;1.1228100;1.1221200;1.1226900;24798
230720;050000;1.1226100;1.1228600;1.1223700;1.1225700;17099
230720;051500;1.1225800;1.1229100;1.1224200;1.1225100;15469
230720;053000;1.1225700;1.1228200;1.1223800;1.1225600;11096
230720;054500;1.1226100;1.1228300;1.1222300;1.1222900;11139
230720;060000;1.1223200;1.1226500;1.1220400;1.1225300;14017
230720;061500;1.1224800;1.1225700;1.1217800;1.1222600;13307
230720;063000;1.1223000;1.1227300;1.1221700;1.1224700;12515
230720;064500;1.1225500;1.1225700;1.1222800;1.1225200;10485
230720;070000;1.1225300;1.1226800;1.1223600;1.1225000;9610
230720;071500;1.1225900;1.1226800;1.1223200;1.1223900;8221
230720;073000;1.1224700;1.1224700;1.1219400;1.1222700;9133
230720;074500;1.1223400;1.1223500;1.1219700;1.1223200;9150
230720;080000;1.1223200;1.1223200;1.1219700;1.1220400;8601
230720;081500;1.1221600;1.1223300;1.1218200;1.1220100;10643
230720;083000;1.1220500;1.1223100;1.1218600;1.1219700;11243
230720;084500;1.1219400;1.1219800;1.1213300;1.1213700;12786
230720;090000;1.1214300;1.1218800;1.1212500;1.1216900;15369
230720;091500;1.1216100;1.1218300;1.1207300;1.1208400;17349
230720;093000;1.1208900;1.1213100;1.1204000;1.1211100;14543
230720;094500;1.1211100;1.1216300;1.1207000;1.1210000;14604
230720;100000;1.1209200;1.1211300;1.1206000;1.1209800;14407
230720;101500;1.1210400;1.1219200;1.1207300;1.1216900;23683
230720;103000;1.1216900;1.1221000;1.1212000;1.1213700;21563
230720;104500;1.1214400;1.1219100;1.1197000;1.1201800;23438
230720;110000;1.1201300;1.1205600;1.1196000;1.1205400;20032
230720;111500;1.1204600;1.1211700;1.1203000;1.1210700;17881
230720;113000;1.1210700;1.1213600;1.1204000;1.1206200;17418
230720;114500;1.1206200;1.1209200;1.1200000;1.1202900;18556
230720;120000;1.1202900;1.1209900;1.1200000;1.1208500;17361
230720;121500;1.1207700;1.1210100;1.1203000;1.1208500;16736
230720;123000;1.1208000;1.1212500;1.1207000;1.1209600;14265
230720;124500;1.1210500;1.1214300;1.1208000;1.1210800;14438
230720;130000;1.1211100;1.1214200;1.1209000;1.1211600;15203
230720;131500;1.1211500;1.1212800;1.1202900;1.1207600;13375
230720;133000;1.1208200;1.1212500;1.1207000;1.1210600;14019
230720;134500;1.1210600;1.1216700;1.1207000;1.1211700;14117
230720;140000;1.1212500;1.1212500;1.1200700;1.1203700;16595
230720;141500;1.1204100;1.1205500;1.1199300;1.1199800;15045
230720;143000;1.1199800;1.1205200;1.1197000;1.1203200;14463
230720;144500;1.1203500;1.1212400;1.1202300;1.1207700;14184
230720;150000;1.1208200;1.1212700;1.1204000;1.1206700;16065
230720;151500;1.1206700;1.1207100;1.1192000;1.1195800;24062
230720;153000;1.1196500;1.1199600;1.1189000;1.1194000;20525
230720;154500;1.1194800;1.1194800;1.1176400;1.1179100;46894
230720;160000;1.1178600;1.1186100;1.1177300;1.1181900;28807
230720;161500;1.1182500;1.1185300;1.1171100;1.1176100;29153
230720;163000;1.1175800;1.1186900;1.1174000;1.1186200;22174
230720;164500;1.1185400;1.1188000;1.1177000;1.1179800;28866
230720;170000;1.1179700;1.1185000;1.1178000;1.1183300;24514
230720;171500;1.1183300;1.1188700;1.1163700;1.1165900;37117
230720;173000;1.1166300;1.1167600;1.1147900;1.1147900;34857
230720;174500;1.1148400;1.1150400;1.1139000;1.1142500;33536
230720;180000;1.1143200;1.1147800;1.1140400;1.1146500;31105
230720;181500;1.1146900;1.1152500;1.1145000;1.1147700;20933
230720;183000;1.1148600;1.1149400;1.1140700;1.1142000;21657
230720;184500;1.1142000;1.1143100;1.1134000;1.1135200;17927
230720;190000;1.1135800;1.1137100;1.1130000;1.1134500;19975
230720;191500;1.1134500;1.1138700;1.1132500;1.1132800;16710
230720;193000;1.1133200;1.1134600;1.1125000;1.1128000;18250
230720;194500;1.1128800;1.1129200;1.1119900;1.1119900;13337
230720;200000;1.1119700;1.1124400;1.1117000;1.1124200;12225
230720;201500;1.1123800;1.1126400;1.1121000;1.1123300;15774
230720;203000;1.1124100;1.1127000;1.1120000;1.1126700;14519
230720;204500;1.1126200;1.1133500;1.1123000;1.1133400;13228
230720;210000;1.1133300;1.1134800;1.1128000;1.1129500;8506
230720;211500;1.1130000;1.1130700;1.1126000;1.1128200;10501
230720;213000;1.1128100;1.1129000;1.1123000;1.1123500;11645
230720;214500;1.1124000;1.1127600;1.1122000;1.1126100;11308
230720;220000;1.1126600;1.1130200;1.1125000;1.1125800;13662
230720;221500;1.1126400;1.1130100;1.1124000;1.1129800;11853
230720;223000;1.1129800;1.1130600;1.1127000;1.1128400;11118
230720;224500;1.1128500;1.1133500;1.1127000;1.1132100;11393
230720;230000;1.1132900;1.1132900;1.1128000;1.1131500;11938
230720;231500;1.1131700;1.1132400;1.1128000;1.1128100;6440
230720;233000;1.1128600;1.1130200;1.1127900;1.1129000;5351
230720;234500;1.1129500;1.1130000;1.1128400;1.1128500;4331
230721;000000;1.1129300;1.1130800;1.1127700;1.1128700;8004
230721;001500;1.1129200;1.1132800;1.1127000;1.1132200;1421
230721;003000;1.1132300;1.1132900;1.1129000;1.1129900;851
230721;004500;1.1131000;1.1133300;1.1129200;1.1130400;2580
230721;010000;1.1130500;1.1135200;1.1129500;1.1134100;5969
230721;011500;1.1135000;1.1136800;1.1130200;1.1136000;4640
230721;013000;1.1135700;1.1136500;1.1133300;1.1135000;4659
230721;014500;1.1134600;1.1135200;1.1132100;1.1132400;4399
230721;020000;1.1132200;1.1135400;1.1132100;1.1134400;3192
230721;021500;1.1134700;1.1137000;1.1133700;1.1135200;4684
230721;023000;1.1135200;1.1136200;1.1133600;1.1134700;3841
230721;024500;1.1133900;1.1136900;1.1133700;1.1136400;6743
230721;030000;1.1135900;1.1138000;1.1132700;1.1134600;6357
230721;031500;1.1134200;1.1135000;1.1129100;1.1133200;10414
230721;033000;1.1134000;1.1135200;1.1132500;1.1133700;7023
230721;034500;1.1133500;1.1135400;1.1129300;1.1133800;8504
230721;040000;1.1133800;1.1138200;1.1132600;1.1137200;9605
230721;041500;1.1136700;1.1138800;1.1130200;1.1133100;12228
230721;043000;1.1133100;1.1136700;1.1131300;1.1134900;12104
230721;044500;1.1135500;1.1140500;1.1134700;1.1138200;15500
230721;050000;1.1137900;1.1139400;1.1136600;1.1139300;11221
230721;051500;1.1138500;1.1140700;1.1136600;1.1139700;10139
230721;053000;1.1140000;1.1140600;1.1136100;1.1136600;8678
230721;054500;1.1137100;1.1141000;1.1135200;1.1140400;9325
230721;060000;1.1139600;1.1141900;1.1137300;1.1139400;7260
230721;061500;1.1138600;1.1140500;1.1136200;1.1138000;7409
230721;063000;1.1137200;1.1139000;1.1136200;1.1138400;7215
230721;064500;1.1138000;1.1140000;1.1134700;1.1136000;6331
230721;070000;1.1135600;1.1137000;1.1133900;1.1135800;6226
230721;071500;1.1135800;1.1137300;1.1133600;1.1136300;6795
230721;073000;1.1136300;1.1138400;1.1135700;1.1137600;6412
230721;074500;1.1137200;1.1138700;1.1136700;1.1138200;5715
230721;080000;1.1138500;1.1140000;1.1135700;1.1139300;7137
230721;081500;1.1138700;1.1141700;1.1137800;1.1138700;7526
230721;083000;1.1138700;1.1139000;1.1135300;1.1136600;7000
230721;084500;1.1137100;1.1138700;1.1133000;1.1137200;8746
230721;090000;1.1136900;1.1143800;1.1136200;1.1142400;10136
230721;091500;1.1142300;1.1143600;1.1133000;1.1141500;16279
230721;093000;1.1140700;1.1145000;1.1138000;1.1144000;11107
230721;094500;1.1144000;1.1145000;1.1140000;1.1143700;12511
230721;100000;1.1143300;1.1143900;1.1134000;1.1142600;12893
230721;101500;1.1142900;1.1144700;1.1136000;1.1137700;18960
230721;103000;1.1137800;1.1139300;1.1133700;1.1135800;15589
230721;104500;1.1136600;1.1137000;1.1124000;1.1128800;26374
230721;110000;1.1128800;1.1131600;1.1124000;1.1127700;18195
230721;111500;1.1127200;1.1132600;1.1124300;1.1125900;20911
230721;113000;1.1125500;1.1133400;1.1120000;1.1132500;19460
230721;114500;1.1132200;1.1137700;1.1131000;1.1135200;16569
230721;120000;1.1134600;1.1135100;1.1125800;1.1127900;16320
230721;121500;1.1128100;1.1132100;1.1126000;1.1127500;16178
230721;123000;1.1127500;1.1131500;1.1121000;1.1128800;15964
230721;124500;1.1128900;1.1131100;1.1121000;1.1123400;15183
230721;130000;1.1123100;1.1128300;1.1122000;1.1127200;13514
230721;131500;1.1127600;1.1128500;1.1121000;1.1124700;11833
230721;133000;1.1124300;1.1127000;1.1119000;1.1123700;11419
230721;134500;1.1122900;1.1127400;1.1121000;1.1126100;10516
230721;140000;1.1126300;1.1126700;1.1122000;1.1125600;11765
230721;141500;1.1125100;1.1127300;1.1120000;1.1123500;12188
230721;143000;1.1123700;1.1126800;1.1121000;1.1125300;9694
230721;144500;1.1124900;1.1131400;1.1123000;1.1130800;10859
230721;150000;1.1130000;1.1130900;1.1116000;1.1118100;13736
230721;151500;1.1118300;1.1126200;1.1117400;1.1124300;15606
230721;153000;1.1124300;1.1130100;1.1118000;1.1121300;16208
230721;154500;1.1121900;1.1128000;1.1120000;1.1124300;18359
230721;160000;1.1124600;1.1134400;1.1123000;1.1128300;16651
230721;161500;1.1127900;1.1135100;1.1126200;1.1131800;16980
230721;163000;1.1131500;1.1138000;1.1129500;1.1132400;16176
230721;164500;1.1131800;1.1135600;1.1124900;1.1125800;22547
230721;170000;1.1125800;1.1127500;1.1110800;1.1118800;19742
230721;171500;1.1118500;1.1118800;1.1108400;1.1113200;17490
230721;173000;1.1113200;1.1116000;1.1109000;1.1115100;15198
230721;174500;1.1115100;1.1117900;1.1111000;1.1114300;18360
230721;180000;1.1114300;1.1115200;1.1107100;1.1113000;20442
230721;181500;1.1113200;1.1124000;1.1111000;1.1122900;17081
230721;183000;1.1123300;1.1126100;1.1118000;1.1120800;12844
230721;184500;1.1120500;1.1122000;1.1114300;1.1116800;12074
230721;190000;1.1116700;1.1123800;1.1115200;1.1118800;11609
230721;191500;1.1118800;1.1121600;1.1114700;1.1116300;10775
230721;193000;1.1115900;1.1121300;1.1114800;1.1119800;8272
230721;194500;1.1118900;1.1120200;1.1116600;1.1118700;8106
230721;200000;1.1118200;1.1125500;1.1117200;1.1122600;8925
230721;201500;1.1123200;1.1126400;1.1122000;1.1125100;8154
230721;203000;1.1125100;1.1126500;1.1122400;1.1125700;8367
230721;204500;1.1125400;1.1128900;1.1123400;1.1128800;7071
230721;210000;1.1128600;1.1129000;1.1124000;1.1125900;6645
230721;211500;1.1125700;1.1130200;1.1124800;1.1128000;8342
230721;213000;1.1128300;1.1129200;1.1123500;1.1124500;8273
230721;214500;1.1124300;1.1128100;1.1123300;1.1126900;8210
230721;220000;1.1126900;1.1127500;1.1123300;1.1124400;7403
230721;221500;1.1124400;1.1124900;1.1118200;1.1119100;8903
230721;223000;1.1118600;1.1123200;1.1118500;1.1122800;7496
230721;224500;1.1122300;1.1124700;1.1121000;1.1123900;6335
